gene,species
SHISA9,gamo_cpg
MRTFB,gamo_cpg
ZC3H7A,gamo_cpg
CLEC16A,gamo_cpg
TVP23A,gamo_cpg
Grin2a,gamo_cpg
TEX2,gamo_cpg
Tbl3,gamo_cpg
SYNGR3,gamo_cpg
Znf598,gamo_cpg
NTHL1,gamo_cpg
Tsc2,gamo_cpg
PKD1,gamo_cpg
TRAF7,gamo_cpg
CASKIN1,gamo_cpg
Hexdc,gamo_cpg
mlst8,gamo_cpg
PGP,gamo_cpg
SLC5A11,gamo_cpg
ARHGAP17,gamo_cpg
Prkcb,gamo_cpg
TNRC6A,gamo_cpg
Impg2,gamo_cpg
PALB2,gamo_cpg
ERN1,gamo_cpg
Gga2,gamo_cpg
Cog7,gamo_cpg
SCNN1B,gamo_cpg
USP31,gamo_cpg
GNPTG,gamo_cpg
MMP17,gamo_cpg
ADGRD1,gamo_cpg
PIWIL1,gamo_cpg
FZD10,gamo_cpg
SLC15A4,gamo_cpg
TMEM132C,gamo_cpg
AACS,gamo_cpg
NCOR2,gamo_cpg
RFLNA,gamo_cpg
CCDC92,gamo_cpg
SBNO1,gamo_cpg
Cdk2ap1,gamo_cpg
PITPNM2,gamo_cpg
OGFOD2,gamo_cpg
ABCB9,gamo_cpg
VPS37B,gamo_cpg
HIP1R,gamo_cpg
DENR,gamo_cpg
ANAPC7,gamo_cpg
ATP2A2,gamo_cpg
Ift81,gamo_cpg
Tmem120b,gamo_cpg
WDR66,gamo_cpg
Mlxip,gamo_cpg
B3GNT4,gamo_cpg
CLIP1,gamo_cpg
RAD9B,gamo_cpg
PPTC7,gamo_cpg
TCTN1,gamo_cpg
